Gens;pop_size=200, selection=tournament_sel, crossover=uniform_co, mutation=inversion_mutation, avg_best_fitness;pop_size=200, selection=tournament_sel, crossover=uniform_co, mutation=inversion_mutation, _std_best_fitness;pop_size=200, selection=tournament_sel, crossover=uniform_co, mutation=inversion_mutation, cumulative_evaluations;pop_size=500, selection=tournament_sel, crossover=uniform_co, mutation=inversion_mutation, avg_best_fitness;pop_size=500, selection=tournament_sel, crossover=uniform_co, mutation=inversion_mutation, _std_best_fitness;pop_size=500, selection=tournament_sel, crossover=uniform_co, mutation=inversion_mutation, cumulative_evaluations;pop_size=200, selection=tournament_sel, crossover=uniform_co, mutation=inversion_mutation, avg_best_fitness;pop_size=200, selection=tournament_sel, crossover=uniform_co, mutation=inversion_mutation, _std_best_fitness;pop_size=200, selection=tournament_sel, crossover=uniform_co, mutation=inversion_mutation, cumulative_evaluations;pop_size=500, selection=tournament_sel, crossover=uniform_co, mutation=inversion_mutation, avg_best_fitness;pop_size=500, selection=tournament_sel, crossover=uniform_co, mutation=inversion_mutation, _std_best_fitness;pop_size=500, selection=tournament_sel, crossover=uniform_co, mutation=inversion_mutation, cumulative_evaluations
146;19836;1829,363459;1500000;22276,66667;1958,517013;1500000;21444;1347,317335;2190000;22963,33333;1264,24769;2190000
147;19836;1829,363459;1500000;22276,66667;1958,517013;1500000;21470,66667;1326,325584;2205000;22970;1263,896093;2205000
148;19836;1829,363459;1500000;22276,66667;1958,517013;1500000;21502,66667;1301,586041;2220000;22980;1264,225718;2220000
149;19836;1829,363459;1500000;22276,66667;1958,517013;1500000;21534,66667;1269,592411;2235000;22986,66667;1262,20266;2235000
150;19836;1829,363459;1500000;22276,66667;1958,517013;1500000;21569,33333;1235,256878;2250000;23000;1262,00898;2250000
151;19836;1829,363459;1500000;22276,66667;1958,517013;1500000;21597,33333;1221,908162;2265000;23003,33333;1262,664731;2265000
152;19836;1829,363459;1500000;22276,66667;1958,517013;1500000;21612;1217,753122;2280000;23013,33333;1263,522413;2280000
153;19836;1829,363459;1500000;22276,66667;1958,517013;1500000;21621,33333;1196,583284;2295000;23056,66667;1060,089095;2295000
154;19836;1829,363459;1500000;22276,66667;1958,517013;1500000;21638,66667;1176,649858;2310000;23060;1059,748398;2310000
155;19836;1829,363459;1500000;22276,66667;1958,517013;1500000;21648;1180,661961;2325000;23076,66667;975,938295;2325000
156;19836;1829,363459;1500000;22276,66667;1958,517013;1500000;21657,33333;1177,47451;2340000;23076,66667;975,938295;2340000
157;19836;1829,363459;1500000;22276,66667;1958,517013;1500000;21668;1162,544336;2355000;23083,33333;978,1217829;2355000
158;19836;1829,363459;1500000;22276,66667;1958,517013;1500000;21674,66667;1155,519316;2370000;23090;978,2126558;2370000
159;19836;1829,363459;1500000;22276,66667;1958,517013;1500000;21694,66667;1127,344175;2385000;23103,33333;976,8941715;2385000
160;19836;1829,363459;1500000;22276,66667;1958,517013;1500000;21716;1124,99363;2400000;23113,33333;980,0453504;2400000
161;19836;1829,363459;1500000;22276,66667;1958,517013;1500000;21728;1116,489737;2415000;23120;979,9319704;2415000
162;19836;1829,363459;1500000;22276,66667;1958,517013;1500000;21744;1109,503192;2430000;23123,33333;963,2179862;2430000
163;19836;1829,363459;1500000;22276,66667;1958,517013;1500000;21760;1117,377883;2445000;23130;946,9776485;2445000
164;19836;1829,363459;1500000;22276,66667;1958,517013;1500000;21777,33333;1119,591989;2460000;23133,33333;930,3523825;2460000
165;19836;1829,363459;1500000;22276,66667;1958,517013;1500000;21785,33333;1121,391199;2475000;23146,66667;882,3201737;2475000
166;19836;1829,363459;1500000;22276,66667;1958,517013;1500000;21789,33333;1118,519657;2490000;23153,33333;849,6012136;2490000
167;19836;1829,363459;1500000;22276,66667;1958,517013;1500000;21809,33333;1103,228394;2505000;23153,33333;849,6012136;2505000
168;19836;1829,363459;1500000;22276,66667;1958,517013;1500000;21821,33333;1102,275626;2520000;23156,66667;850,3659343;2520000
169;19836;1829,363459;1500000;22276,66667;1958,517013;1500000;21845,33333;1092,79987;2535000;23156,66667;850,3659343;2535000
170;19836;1829,363459;1500000;22276,66667;1958,517013;1500000;21853,33333;1091,706106;2550000;23156,66667;850,3659343;2550000
171;19836;1829,363459;1500000;22276,66667;1958,517013;1500000;21878,66667;1082,379272;2565000;23160;850,7251809;2565000
172;19836;1829,363459;1500000;22276,66667;1958,517013;1500000;21897,33333;1069,576032;2580000;23163,33333;850,2875331;2580000
173;19836;1829,363459;1500000;22276,66667;1958,517013;1500000;21909,33333;1065,604471;2595000;23176,66667;851,1495495;2595000
174;19836;1829,363459;1500000;22276,66667;1958,517013;1500000;21932;1053,142599;2610000;23183,33333;848,5608732;2610000
175;19836;1829,363459;1500000;22276,66667;1958,517013;1500000;21945,33333;1050,24357;2625000;23193,33333;853,2031151;2625000
176;19836;1829,363459;1500000;22276,66667;1958,517013;1500000;21949,33333;1045,800916;2640000;23200;854,7904227;2640000
177;19836;1829,363459;1500000;22276,66667;1958,517013;1500000;21957,33333;1038,354253;2655000;23206,66667;854,764425;2655000
178;19836;1829,363459;1500000;22276,66667;1958,517013;1500000;21961,33333;1038,061441;2670000;23206,66667;854,764425;2670000
179;19836;1829,363459;1500000;22276,66667;1958,517013;1500000;21970,66667;1042,02026;2685000;23223,33333;805,6812163;2685000
180;19836;1829,363459;1500000;22276,66667;1958,517013;1500000;21993,33333;1041,451978;2700000;23246,66667;709,3345865;2700000
181;19836;1829,363459;1500000;22276,66667;1958,517013;1500000;22002,66667;1029,430047;2715000;23253,33333;678,1019261;2715000
182;19836;1829,363459;1500000;22276,66667;1958,517013;1500000;22010,66667;1032,869573;2730000;23286,66667;530,869308;2730000
183;19836;1829,363459;1500000;22276,66667;1958,517013;1500000;22017,33333;1032,585536;2745000;23293,33333;530,9948734;2745000
184;19836;1829,363459;1500000;22276,66667;1958,517013;1500000;22025,33333;1026,332413;2760000;23300;515,7518783;2760000
185;19836;1829,363459;1500000;22276,66667;1958,517013;1500000;22036;1020,0183;2775000;23313,33333;489,7164713;2775000
186;19836;1829,363459;1500000;22276,66667;1958,517013;1500000;22048;1018,018991;2790000;23316,66667;489,2738383;2790000
187;19836;1829,363459;1500000;22276,66667;1958,517013;1500000;22070,66667;1018,596856;2805000;23320;489,48953;2805000
188;19836;1829,363459;1500000;22276,66667;1958,517013;1500000;22105,33333;1005,43766;2820000;23323,33333;489,0012497;2820000
189;19836;1829,363459;1500000;22276,66667;1958,517013;1500000;22113,33333;1002,574464;2835000;23330;476,8997099;2835000
190;19836;1829,363459;1500000;22276,66667;1958,517013;1500000;22124;999,1783291;2850000;23330;476,8997099;2850000
191;19836;1829,363459;1500000;22276,66667;1958,517013;1500000;22130,66667;997,5935489;2865000;23330;476,8997099;2865000
192;19836;1829,363459;1500000;22276,66667;1958,517013;1500000;22142,66667;991,0497241;2880000;23333,33333;478,4233365;2880000
193;19836;1829,363459;1500000;22276,66667;1958,517013;1500000;22164;974,4249586;2895000;23333,33333;478,4233365;2895000
194;19836;1829,363459;1500000;22276,66667;1958,517013;1500000;22182,66667;963,9326855;2910000;23333,33333;478,4233365;2910000
195;19836;1829,363459;1500000;22276,66667;1958,517013;1500000;22198,66667;960,76266;2925000;23333,33333;478,4233365;2925000
196;19836;1829,363459;1500000;22276,66667;1958,517013;1500000;22206,66667;963,0968568;2940000;23333,33333;478,4233365;2940000
197;19836;1829,363459;1500000;22276,66667;1958,517013;1500000;22220;967,0573923;2955000;23333,33333;478,4233365;2955000
198;19836;1829,363459;1500000;22276,66667;1958,517013;1500000;22225,33333;964,7235643;2970000;23336,66667;474,3299367;2970000
199;19836;1829,363459;1500000;22276,66667;1958,517013;1500000;22229,33333;969,6423166;2985000;23336,66667;474,3299367;2985000
200;19836;1829,363459;1500000;22276,66667;1958,517013;1500000;22236;967,6969223;3000000;23340;475,1140214;3000000
201;19836;1829,363459;1500000;22276,66667;1958,517013;1500000;22237,33333;966,8882505;3015000;23343,33333;477,2723425;3015000
202;19836;1829,363459;1500000;22276,66667;1958,517013;1500000;22249,33333;964,4858158;3030000;23350;463,8606112;3030000
203;19836;1829,363459;1500000;22276,66667;1958,517013;1500000;22254,66667;966,4082413;3045000;23353,33333;458,063557;3045000
204;19836;1829,363459;1500000;22276,66667;1958,517013;1500000;22272;971,2617224;3060000;23353,33333;458,063557;3060000
205;19836;1829,363459;1500000;22276,66667;1958,517013;1500000;22293,33333;974,6566347;3075000;23356,66667;452,9042087;3075000
206;19836;1829,363459;1500000;22276,66667;1958,517013;1500000;22306,66667;953,3566431;3090000;23360;453,5783652;3090000
207;19836;1829,363459;1500000;22276,66667;1958,517013;1500000;22313,33333;957,2646215;3105000;23363,33333;449,8024258;3105000
208;19836;1829,363459;1500000;22276,66667;1958,517013;1500000;22330,66667;957,6322653;3120000;23363,33333;449,8024258;3120000
209;19836;1829,363459;1500000;22276,66667;1958,517013;1500000;22334,66667;953,099272;3135000;23363,33333;449,8024258;3135000
210;19836;1829,363459;1500000;22276,66667;1958,517013;1500000;22344;949,5598981;3150000;23363,33333;449,8024258;3150000
211;19836;1829,363459;1500000;22276,66667;1958,517013;1500000;22378,66667;929,9882914;3165000;23366,66667;436,1447262;3165000
212;19836;1829,363459;1500000;22276,66667;1958,517013;1500000;22390,66667;932,4052529;3180000;23393,33333;418,6751591;3180000
213;19836;1829,363459;1500000;22276,66667;1958,517013;1500000;22402,66667;928,7946789;3195000;23396,66667;404,5436386;3195000
214;19836;1829,363459;1500000;22276,66667;1958,517013;1500000;22414,66667;925,1584849;3210000;23400;404,1451884;3210000
215;19836;1829,363459;1500000;22276,66667;1958,517013;1500000;22418,66667;921,5484553;3225000;23406,66667;390,668942;3225000
216;19836;1829,363459;1500000;22276,66667;1958,517013;1500000;22425,33333;917,110438;3240000;23413,33333;363,9902319;3240000
217;19836;1829,363459;1500000;22276,66667;1958,517013;1500000;22432;915,8107519;3255000;23456,66667;253,880987;3255000
218;19836;1829,363459;1500000;22276,66667;1958,517013;1500000;22449,33333;909,8532238;3270000;23463,33333;253,6182608;3270000
219;19836;1829,363459;1500000;22276,66667;1958,517013;1500000;22454,66667;911,5983521;3285000;23463,33333;253,6182608;3285000
220;19836;1829,363459;1500000;22276,66667;1958,517013;1500000;22462,66667;913,7137894;3300000;23463,33333;253,6182608;3300000
221;19836;1829,363459;1500000;22276,66667;1958,517013;1500000;22468;910,9935968;3315000;23463,33333;253,6182608;3315000
222;19836;1829,363459;1500000;22276,66667;1958,517013;1500000;22476;915,1815849;3330000;23463,33333;253,6182608;3330000
223;19836;1829,363459;1500000;22276,66667;1958,517013;1500000;22480;916,2241356;3345000;23463,33333;253,6182608;3345000
224;19836;1829,363459;1500000;22276,66667;1958,517013;1500000;22484;912,5846079;3360000;23463,33333;253,6182608;3360000
225;19836;1829,363459;1500000;22276,66667;1958,517013;1500000;22488;912,7190148;3375000;23463,33333;253,6182608;3375000
226;19836;1829,363459;1500000;22276,66667;1958,517013;1500000;22492;914,003647;3390000;23466,66667;256,0381916;3390000
227;19836;1829,363459;1500000;22276,66667;1958,517013;1500000;22496;910,7418222;3405000;23466,66667;256,0381916;3405000
228;19836;1829,363459;1500000;22276,66667;1958,517013;1500000;22505,33333;892,3218154;3420000;23470;254,49296;3420000
229;19836;1829,363459;1500000;22276,66667;1958,517013;1500000;22521,33333;863,3721999;3435000;23480;261,2789059;3435000
230;19836;1829,363459;1500000;22276,66667;1958,517013;1500000;22526,66667;865,2295778;3450000;23480;261,2789059;3450000
231;19836;1829,363459;1500000;22276,66667;1958,517013;1500000;22540;857,748992;3465000;23480;261,2789059;3465000
232;19836;1829,363459;1500000;22276,66667;1958,517013;1500000;22549,33333;855,3164457;3480000;23483,33333;254,4056254;3480000
233;19836;1829,363459;1500000;22276,66667;1958,517013;1500000;22566,66667;851,0908034;3495000;23483,33333;254,4056254;3495000
234;19836;1829,363459;1500000;22276,66667;1958,517013;1500000;22572;853,0041032;3510000;23490;259,9358895;3510000
235;19836;1829,363459;1500000;22276,66667;1958,517013;1500000;22574,66667;853,7124158;3525000;23490;259,9358895;3525000
236;19836;1829,363459;1500000;22276,66667;1958,517013;1500000;22574,66667;853,7124158;3540000;23490;259,9358895;3540000
237;19836;1829,363459;1500000;22276,66667;1958,517013;1500000;22580;854,3223435;3555000;23490;259,9358895;3555000
238;19836;1829,363459;1500000;22276,66667;1958,517013;1500000;22585,33333;855,5221927;3570000;23490;259,9358895;3570000
239;19836;1829,363459;1500000;22276,66667;1958,517013;1500000;22592;850,8442866;3585000;23493,33333;259,4010194;3585000
240;19836;1829,363459;1500000;22276,66667;1958,517013;1500000;22597,33333;850,8777168;3600000;23496,66667;263,9233896;3600000
241;19836;1829,363459;1500000;22276,66667;1958,517013;1500000;22604;850,010196;3615000;23503,33333;260,1068157;3615000
242;19836;1829,363459;1500000;22276,66667;1958,517013;1500000;22612;848,9931291;3630000;23506,66667;256,8181371;3630000
243;19836;1829,363459;1500000;22276,66667;1958,517013;1500000;22614,66667;843,9104745;3645000;23510;254,7547841;3645000
244;19836;1829,363459;1500000;22276,66667;1958,517013;1500000;22617,33333;847,0141019;3660000;23516,66667;254,4056254;3660000
245;19836;1829,363459;1500000;22276,66667;1958,517013;1500000;22620;844,4327485;3675000;23516,66667;254,4056254;3675000
246;19836;1829,363459;1500000;22276,66667;1958,517013;1500000;22633,33333;825,1599172;3690000;23516,66667;254,4056254;3690000
247;19836;1829,363459;1500000;22276,66667;1958,517013;1500000;22637,33333;826,5225681;3705000;23516,66667;254,4056254;3705000
248;19836;1829,363459;1500000;22276,66667;1958,517013;1500000;22638,66667;825,0888168;3720000;23516,66667;254,4056254;3720000
249;19836;1829,363459;1500000;22276,66667;1958,517013;1500000;22644;823,0415137;3735000;23520;254,820198;3735000
250;19836;1829,363459;1500000;22276,66667;1958,517013;1500000;22652;822,736896;3750000;23523,33333;255,1905606;3750000
251;19836;1829,363459;1500000;22276,66667;1958,517013;1500000;22654,66667;822,4019023;3765000;23523,33333;255,1905606;3765000
252;19836;1829,363459;1500000;22276,66667;1958,517013;1500000;22669,33333;824,1315968;3780000;23526,66667;256,8181371;3780000
253;19836;1829,363459;1500000;22276,66667;1958,517013;1500000;22670,66667;824,7461562;3795000;23530;258,3924664;3795000
254;19836;1829,363459;1500000;22276,66667;1958,517013;1500000;22676;828,7886743;3810000;23530;258,3924664;3810000
255;19836;1829,363459;1500000;22276,66667;1958,517013;1500000;22678,66667;824,9918518;3825000;23530;258,3924664;3825000
256;19836;1829,363459;1500000;22276,66667;1958,517013;1500000;22682,66667;822,5769805;3840000;23530;258,3924664;3840000
257;19836;1829,363459;1500000;22276,66667;1958,517013;1500000;22685,33333;822,4667504;3855000;23540;253,7715508;3855000
258;19836;1829,363459;1500000;22276,66667;1958,517013;1500000;22689,33333;820,011924;3870000;23543,33333;248,5737092;3870000
259;19836;1829,363459;1500000;22276,66667;1958,517013;1500000;22696;817,8736659;3885000;23550;241,8677324;3885000
260;19836;1829,363459;1500000;22276,66667;1958,517013;1500000;22697,33333;818,7752371;3900000;23550;241,8677324;3900000
261;19836;1829,363459;1500000;22276,66667;1958,517013;1500000;22698,66667;819,1855033;3915000;23550;241,8677324;3915000
262;19836;1829,363459;1500000;22276,66667;1958,517013;1500000;22698,66667;819,1855033;3930000;23550;241,8677324;3930000
263;19836;1829,363459;1500000;22276,66667;1958,517013;1500000;22700;819,7560613;3945000;23550;241,8677324;3945000
264;19836;1829,363459;1500000;22276,66667;1958,517013;1500000;22702,66667;820,727049;3960000;23550;241,8677324;3960000
265;19836;1829,363459;1500000;22276,66667;1958,517013;1500000;22704;821,4523723;3975000;23550;241,8677324;3975000
266;19836;1829,363459;1500000;22276,66667;1958,517013;1500000;22705,33333;818,9250407;3990000;23550;241,8677324;3990000
267;19836;1829,363459;1500000;22276,66667;1958,517013;1500000;22705,33333;818,9250407;4005000;23556,66667;236,1967165;4005000
268;19836;1829,363459;1500000;22276,66667;1958,517013;1500000;22705,33333;818,9250407;4020000;23560;228,9104628;4020000
269;19836;1829,363459;1500000;22276,66667;1958,517013;1500000;22708;818,5776282;4035000;23563,33333;222,8352655;4035000
270;19836;1829,363459;1500000;22276,66667;1958,517013;1500000;22710,66667;818,5472226;4050000;23566,66667;227,0584849;4050000
271;19836;1829,363459;1500000;22276,66667;1958,517013;1500000;22716;818,4603432;4065000;23566,66667;227,0584849;4065000
272;19836;1829,363459;1500000;22276,66667;1958,517013;1500000;22720;820,5689083;4080000;23576,66667;220,1262264;4080000
273;19836;1829,363459;1500000;22276,66667;1958,517013;1500000;22720;820,5689083;4095000;23576,66667;220,1262264;4095000
274;19836;1829,363459;1500000;22276,66667;1958,517013;1500000;22721,33333;819,8037706;4110000;23580;218,1742423;4110000
275;19836;1829,363459;1500000;22276,66667;1958,517013;1500000;22721,33333;819,8037706;4125000;23580;218,1742423;4125000
276;19836;1829,363459;1500000;22276,66667;1958,517013;1500000;22721,33333;819,8037706;4140000;23580;218,1742423;4140000
277;19836;1829,363459;1500000;22276,66667;1958,517013;1500000;22728;807,5576347;4155000;23583,33333;220,7311084;4155000
278;19836;1829,363459;1500000;22276,66667;1958,517013;1500000;22734,66667;802,2457368;4170000;23590;218,0978374;4170000
279;19836;1829,363459;1500000;22276,66667;1958,517013;1500000;22738,66667;799,6488118;4185000;23590;218,0978374;4185000
280;19836;1829,363459;1500000;22276,66667;1958,517013;1500000;22740;797,9974937;4200000;23590;218,0978374;4200000
281;19836;1829,363459;1500000;22276,66667;1958,517013;1500000;22742,66667;797,8593583;4215000;23593,33333;217,4600857;4215000
282;19836;1829,363459;1500000;22276,66667;1958,517013;1500000;22750,66667;795,3822282;4230000;23593,33333;217,4600857;4230000
283;19836;1829,363459;1500000;22276,66667;1958,517013;1500000;22754,66667;796,7087855;4245000;23593,33333;217,4600857;4245000
284;19836;1829,363459;1500000;22276,66667;1958,517013;1500000;22758,66667;798,3471815;4260000;23593,33333;217,4600857;4260000
285;19836;1829,363459;1500000;22276,66667;1958,517013;1500000;22768;791,6497542;4275000;23596,66667;208,9391193;4275000
286;19836;1829,363459;1500000;22276,66667;1958,517013;1500000;22768;791,6497542;4290000;23600;206,5591118;4290000
287;19836;1829,363459;1500000;22276,66667;1958,517013;1500000;22773,33333;784,2335253;4305000;23600;206,5591118;4305000
288;19836;1829,363459;1500000;22276,66667;1958,517013;1500000;22778,66667;782,524689;4320000;23600;206,5591118;4320000
289;19836;1829,363459;1500000;22276,66667;1958,517013;1500000;22784;779,4083226;4335000;23600;206,5591118;4335000
290;19836;1829,363459;1500000;22276,66667;1958,517013;1500000;22789,33333;779,3284859;4350000;23600;206,5591118;4350000
291;19836;1829,363459;1500000;22276,66667;1958,517013;1500000;22790,66667;779,0889266;4365000;23600;206,5591118;4365000
292;19836;1829,363459;1500000;22276,66667;1958,517013;1500000;22796;773,1218102;4380000;23600;206,5591118;4380000
293;19836;1829,363459;1500000;22276,66667;1958,517013;1500000;22801,33333;766,2015981;4395000;23600;206,5591118;4395000
294;19836;1829,363459;1500000;22276,66667;1958,517013;1500000;22808;764,6803254;4410000;23600;206,5591118;4410000
295;19836;1829,363459;1500000;22276,66667;1958,517013;1500000;22809,33333;763,8801535;4425000;23600;206,5591118;4425000
296;19836;1829,363459;1500000;22276,66667;1958,517013;1500000;22813,33333;763,209597;4440000;23606,66667;199,888858;4440000
297;19836;1829,363459;1500000;22276,66667;1958,517013;1500000;22818,66667;759,4196615;4455000;23606,66667;199,888858;4455000
298;19836;1829,363459;1500000;22276,66667;1958,517013;1500000;22824;758,0395768;4470000;23606,66667;199,888858;4470000
299;19836;1829,363459;1500000;22276,66667;1958,517013;1500000;22830,66667;759,4688202;4485000;23606,66667;199,888858;4485000
300;19836;1829,363459;1500000;22276,66667;1958,517013;1500000;22833,33333;758,3021972;4500000;23606,66667;199,888858;4500000
